instruction	concept_list	shared_property
Use the Input below to identify the common property or characteristic shared by all these concepts.	farmhouses,mansion,cabins,palaces,hermitages	homes
Use the Input below to identify the common property or characteristic shared by all these concepts.	peptide hormones,catecholamines,gonadotropin,insulin,norepinephrine	hormones
Use the Input below to identify the common property or characteristic shared by all these concepts.	pintos,donkeys,burros,foals,palominos	horses
Use the Input below to identify the common property or characteristic shared by all these concepts.	happy hours,rush hours,twilight,midnights,noons	hours
Use the Input below to identify the common property or characteristic shared by all these concepts.	iron,clothes dryers,freezer,vacuum cleaner,oven	household appliances
Use the Input below to identify the common property or characteristic shared by all these concepts.	chalets,auction houses,igloos,haunted houses,upper houses	houses
Use the Input below to identify the common property or characteristic shared by all these concepts.	hospices,apartments,dwellings,mobile homes,radomes	housing
Use the Input below to identify the common property or characteristic shared by all these concepts.	mortgage bankings,risk management,scuba diving,applause,cattle drives	human activities
Use the Input below to identify the common property or characteristic shared by all these concepts.	computer users,fangs,diabetics,police,managers	humans
Use the Input below to identify the common property or characteristic shared by all these concepts.	may cry when,persons stomach growels when,person wants food when,lick lips when,people work harder when	hungry
Use the Input below to identify the common property or characteristic shared by all these concepts.	terpenes,alkenes,chlorobenzenes,aromatic compounds,octanes	hydrocarbons
Use the Input below to identify the common property or characteristic shared by all these concepts.	sanitizer,liquid soap,shampoo,body wash,lotion	hygiene products
Use the Input below to identify the common property or characteristic shared by all these concepts.	frost,solid water,snowflakes,icebergs,flowers	ice
Use the Input below to identify the common property or characteristic shared by all these concepts.	body images,misconception,plans,ideals,meaning	ideas
Use the Input below to identify the common property or characteristic shared by all these concepts.	killing people without reason,terrorism,extortion,lsd,heroin	illegal
Use the Input below to identify the common property or characteristic shared by all these concepts.	infarction,vascular diseases,lactose intolerance,head louses,coughs	illnesses
Use the Input below to identify the common property or characteristic shared by all these concepts.	mirage,satellite images,reflection,portraits,spectacles	imagery
Use the Input below to identify the common property or characteristic shared by all these concepts.	sticks,utensils,rods,bars,swabs	implements
Use the Input below to identify the common property or characteristic shared by all these concepts.	public education on drugs,small things,health,reading,good	important
Use the Input below to identify the common property or characteristic shared by all these concepts.	ventilation,modernization,corrections,development,reform	improvement
Use the Input below to identify the common property or characteristic shared by all these concepts.	metal,oxide,particles,rocks,electricity	inanimate objects
Use the Input below to identify the common property or characteristic shared by all these concepts.	calls,denominationalisms,devices,direction,bobs	inclination
